std_snn_vit_small_digital,std_snn_vit_small_analog,mean_snn_vit_small_digital,mean_snn_vit_small_analog,mean_ann_vit_small_digital
0.056,0.07500000000000007,0.4234,0.3035,0.8604
0.040,0.05500000000000002,0.5672,0.4355,0.8604
0.026,0.0360000000000000165,0.6295,0.5271,0.8604
0.010,0.0250000000000000165,0.6838,0.5965,0.8604
0.0095,0.0164999999999999615,0.7335,0.6554,0.8604
0.0036,0.01500000000000002,0.7792,0.7271,0.8604
0.0012,0.009500000000000043,0.8202,0.7811,0.8604
0.0009,0.00500000000000035,0.8433,0.8258,0.8604
0.0008,0.002800000000000031,0.8564,0.8376,0.8604
0.0008,0.0029500000000000031,0.8568,0.8474,0.8604
0.0008,0.0027716387168370,0.8564,0.8477,0.8604
0.0008,0.0029731713178319,0.8569,0.8476,0.8604